Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
f3p16,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f3p18,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; C: drawn number ""4""; BR: ""9-40""",,,,,,,,,,,,,,,,,
f3p21,1,1,,3,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f3p22,1,1,,3,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f3p23,1,1,,3,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Theater backdrop with castle ,,,,,,,,,,,,,,,,
f3p24,1,1,,3,"TL: ""Theatre - (1919) - Prod. #281-22"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f4p1,1,1,,3,"TL: ""Roof of Hospital- Prod. #281-20""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",Hospital/ matches with f3p20 **Placed together ,,,,,,,,,,,,,,,,
f4p2,1,0,,2,"TL: ""2nd floor - Enquirer Bldg. - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 25 '40 PM"" and clock timestamp showing 4:28",,,,,,,,,,,,,,,,,
f4p4,1,1,,3,"TL: ""Kane's House - N. Y -(1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 2:26",,,,,,,,,,,,,,,,,
f4p5,0,1,,1,,,Kane's House plants and dinner table with two chairs,,,,,,,,,,,,,,,,
f4p6,0,0,empty paper sleeve,1,"""Kane's N.Y. Home 1901-1909 \n Prod #281-29""",,,,,,,,,,,,,,,,,,
f4p7,0,1,,1,,,"Drug store, westside drug, street and lamp",,,,,,,,,,,,,,,,
f4p8,1,1,,3,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f4p10,1,1,,3,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f5p1,1,1,,3,"TL: ""Bernstein's Office - Enquirer Bldg - Prod. #281-12""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f5p2,1,1,,3,"TL: ""2nd Floor - Xanadu - Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 23 '40 PM"" and clock timestamp showing 2:48 p.m.","xanadu ? --lavish room with equipment and decorations and no monkeys, vermin on ceiling ",,,,,,,,,,,,,,,,
f5p3,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""10-40""",,,,,,,,,,,,,,,,,
f5p4,1,0,,2,"TL: ""2nd Floor Enquirer Bldg - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 5 '40 PM"" and clock timestamp showing 5:50",NY street,,,,,,,,,,,,,,,,
f5p5,1,1,,3,"TL: ""Section of N. Y. Street - Prod. #281-34""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane \n INT & EXT PUB.""; TR: ""Ranch""'; BR: ""AUG 2 '40 PM"" and clock timestamp showing 01:19",,,,,,,,,,,,,,,,,
f5p6,1,1,,3,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""'; BR: ""8-40""",,,,,,,,,,,,,,,,,
